排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,黄金概念,BK0547,23629.37,1074.81,4.77,3989114688000,5.57,59,11,湖南黄金,10.01
2,痘病毒防治,BK1085,1010.68,35.88,3.68,671458864000,5.16,39,14,达安基因,10.05
3,稀缺资源,BK0519,37745.33,1308.56,3.59,5649804032000,4.24,66,13,湖南黄金,10.01
4,生物疫苗,BK0548,31666.62,954.11,3.11,1103297920000,3.95,53,16,华兰疫苗,20.0
5,体外诊断,BK0841,1546.89,43.18,2.87,937584032000,4.67,47,21,达安基因,10.05
6,病毒防治,BK0675,3108.66,85.69,2.83,1598201920000,4.44,85,29,达安基因,10.05
7,小金属概念,BK0695,4725.9,127.23,2.77,6119855360000,5.5,73,38,天奇股份,9.98
8,精准医疗,BK0806,1255.18,28.09,2.29,649325232000,5.62,25,18,达安基因,10.05
9,流感,BK0906,1826.92,40.4,2.26,1592749408000,4.04,91,29,达安基因,10.05
10,肝炎概念,BK1078,1507.0,32.59,2.21,691690128000,5.32,38,18,达安基因,10.05
11,环氧丙烷,BK1011,749.03,15.95,2.18,628037920000,4.06,19,3,红 宝 丽,9.99
12,基因测序,BK0693,2295.95,48.14,2.14,519408112000,8.48,24,19,达安基因,10.05
13,幽门螺杆菌概念,BK1056,1089.07,22.43,2.1,507909792000,4.78,32,18,达安基因,10.05
14,钛白粉,BK0805,1482.38,29.36,2.02,229424227000,3.31,8,4,钒钛股份,10.13
15,超级真菌,BK0862,1214.5,23.03,1.93,687389584000,3.32,16,6,鲁抗医药,10.0
16,可燃冰,BK0818,1798.82,31.73,1.8,263806062000,2.67,7,2,中海油服,5.68
17,重组蛋白,BK1063,1149.44,17.38,1.54,268653760000,3.57,10,8,百普赛斯,12.58
18,独家药品,BK0676,2771.62,41.76,1.53,785709104000,3.42,31,12,特一药业,10.01
19,CAR-T细胞疗法,BK0986,1359.58,19.28,1.44,602015616000,4.83,14,10,智飞生物,14.87
20,猪肉概念,BK0882,1352.48,18.68,1.4,818818640000,2.81,29,7,回盛生物,20.01
21,青蒿素,BK0872,1925.75,25.61,1.35,308652208000,2.21,7,4,德龙汇能,10.0
22,鸡肉概念,BK0887,806.34,10.62,1.33,361887712000,2.15,18,2,唐人神,5.13
23,VPN,BK0885,1391.2,18.03,1.31,406327696000,6.81,8,11,优刻得-W,19.99
24,辅助生殖,BK0939,1201.85,15.35,1.29,629948128000,4.04,32,20,达安基因,10.05
25,单抗概念,BK0870,1875.83,22.98,1.24,1832766480000,3.04,28,18,科华生物,9.97
26,钒电池,BK1095,1569.12,19.23,1.24,663121408000,3.32,12,10,钒钛股份,10.13
27,长寿药,BK0936,1289.79,14.39,1.13,167855135000,6.65,8,7,特一药业,10.01
28,科创板做市商,BK1107,1569.22,17.54,1.13,2068939632000,1.54,12,1,财通证券,4.3
29,GDR,BK0868,1257.32,13.24,1.06,1676138336000,1.78,5,4,明阳智能,10.02
30,宠物经济,BK0993,1063.04,10.61,1.01,455798000000,3.65,34,33,回盛生物,20.01
31,肝素概念,BK0944,1043.39,10.16,0.98,249265224000,2.77,10,3,华北制药,3.01
